id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,ListingCount,availability_365
12699603,Large Urban Oasis close to beach!,69028974,Christine,,East Boston,42.38366040503235,-71.00026054426053,Entire home/apt,225,2,3,2016-10-23,0.18,1,0
18575841,(12) great room,68367007,Euphy,,East Boston,42.38632820221261,-71.00493125989428,Private room,50,1,28,2017-09-20,6,8,40
20870095,Spacious Private Room Near Airport/Subway,26709330,Zack,,East Boston,42.37993216604652,-71.037700477369,Private room,70,1,14,2017-10-04,14,1,158
1178162,Private Room Great Location Boston,1407005,Izzy & Joanne,,East Boston,42.37779633749723,-71.0346663308644,Private room,100,1,329,2017-09-20,6.17,4,77
20660605,Private bedroom next to greenway.,28859971,Carmen,,East Boston,42.370115412759304,-71.03223867693835,Private room,80,1,3,2017-09-29,3,1,157
5534206,Luxurious Room For Getaways,26476398,EB Housing,,East Boston,42.37661116703254,-71.02935011824522,Private room,80,1,2,2017-10-03,0.06,1,346
4638356,East Boston Room,24014785,Andrey And Olya,,East Boston,42.37741166466541,-71.0357871689478,Private room,84,1,71,2017-10-05,4.35,1,352
13820571,Only 7 minutes to downtown Boston.,81414368,Olena,,East Boston,42.36699755646484,-71.03594264556271,Private room,78,1,62,2017-10-03,4.13,1,162
20697709,SWEET HOME,148143697,Adriana,,East Boston,42.36874630298875,-71.03699669317206,Private room,80,1,0,,,1,59
4107959,Priv/Stylish btwn Dwntwn & Airport,10136526,Paul,,East Boston,42.369491803833704,-71.03659328264263,Private room,119,1,88,2017-09-25,2.97,2,94
4868653,Private room in single family house,4472902,Ernesto,,East Boston,42.380713684394586,-71.03300607586363,Private room,99,2,13,2017-06-28,0.43,1,361
15990488,"All New Renovation, Just for YOU - private room #1",91480383,Yasmina And Elizabeth,,East Boston,42.37094579235114,-71.03435334219968,Private room,70,2,66,2017-08-29,6.62,2,93
21173342,Cozy apartment by Down Town Boston,41738077,Salih,,East Boston,42.36991850241296,-71.04113595109433,Private room,95,1,0,,,1,354
11498523,❤️ AIRBNB HOTEL #3,25938928,Ricardo,,East Boston,42.366636911575284,-71.03884285263116,Private room,30,1,125,2017-09-21,6.48,9,122
14824568,On The Mystic - Queen Master - Near Airport,34539998,Christopher,,East Boston,42.38171107679271,-71.0408659353063,Private room,98,1,53,2017-09-17,4.11,1,172
20479416,Shelly's Place 2,139072570,Lance And Shelly,,East Boston,42.38022893360955,-71.02232454898284,Private room,44,1,1,2017-08-23,0.67,2,273
11866869,Vibrant East Boston Apartment,15349238,Vitaly,,East Boston,42.37234908234539,-71.04158968904288,Private room,70,3,1,2016-03-28,0.05,1,0
13594886,Modern Guest Room near Airport + Downtown,5997103,Andrea And Tivan,,East Boston,42.368497631824305,-71.03370610351725,Private room,104,1,178,2017-10-04,11.61,2,60
17218847,Boston Harbor-Waterfront- Master Bed-Attached Bath,25360918,Rohit,,East Boston,42.37492057652617,-71.04042522456473,Private room,120,1,17,2017-05-01,2.97,1,0
5616179,Beautiful brownstone great location,24361937,Carolyn,,East Boston,42.366959663083335,-71.03277789031864,Private room,110,2,54,2017-08-21,1.78,2,269
17611122,❤️ AIRBNB HOTEL #8,25938928,Ricardo,,East Boston,42.367581304884254,-71.03965809687747,Private room,30,1,60,2017-09-20,8.53,9,114
12580274,Perfect for your E Boston layover,41542719,Ivan,,East Boston,42.37664360636608,-71.03147888791709,Private room,57,1,59,2017-04-29,3.47,3,279
13908638,E1 - Spacious Room at T stop 5 mins to Logan,28820575,S.P,,East Boston,42.36952991188522,-71.03515085321243,Private room,80,1,149,2017-08-28,10.11,14,0
13874533,MiniStudio w/Parking Close to Dwntn,45993690,Daniel,,East Boston,42.375658664017465,-71.03266072695862,Entire home/apt,129,2,80,2017-09-17,5.56,2,338
15281436,Charming Oasis Near Downtown & Airport,5618949,Alan,,East Boston,42.37838774886793,-71.03250600095379,Entire home/apt,149,2,15,2017-09-04,1.96,8,355
1458081,"Beautiful 4BD/2BA Gem! Near airport, city, subway!",1431134,Bruno,,East Boston,42.371116609738905,-71.03339768539294,Entire home/apt,127,1,74,2017-10-05,3.92,1,20
14216418,A Business or Family Express (Logan Airport),28820575,S.P,,East Boston,42.369208141850805,-71.03677094221133,Entire home/apt,175,2,1,2016-08-10,0.07,14,0
8859689,Spacious Boston 2 BR Apt near train and airport #3,44617326,Caroline,,East Boston,42.37574654762358,-71.02989413558957,Entire home/apt,250,1,37,2017-08-02,1.63,3,341
20216776,"(22) Close to Beach, Cute room",68367007,Euphy,,East Boston,42.38826983786817,-71.00745083966159,Private room,60,1,13,2017-09-21,6.39,8,47
19019422,"#1 Cozy private room near airport, downtown Boston",66665179,Zhenwei,,East Boston,42.389404963029754,-71.00780402953434,Private room,49,2,3,2017-07-31,0.76,5,0
14564883,Charming  apartment,90216774,Yana,,East Boston,42.382428339922434,-71.03155467471967,Entire home/apt,129,1,6,2017-09-20,0.79,5,335
4614037,BOSTON 2 BED TOP FLOOR  by Logan airport & Train,9073339,Elisangela,,East Boston,42.37911397378514,-71.03406034222971,Entire home/apt,250,1,76,2017-10-01,2.62,2,218
20217062,"(24) Near Airport, Boston, beach",68367007,Euphy,,East Boston,42.38822506061218,-71.00903643888354,Private room,60,1,9,2017-09-20,4.91,8,41
20216964,"(23) Near to beach, Cozy room",68367007,Euphy,,East Boston,42.38793851736522,-71.00872135304532,Private room,60,1,6,2017-10-02,3.46,8,51
15052939,Cosy couch available 5 min away from Airport,95139475,Ben,,East Boston,42.38262721797556,-71.02010012608106,Shared room,70,1,0,,,1,0
16427608,1 bdrm minutes from Logan. Business travel ready.,102149802,Cynthia,,East Boston,42.38977244945219,-71.00618210560536,Entire home/apt,129,3,13,2017-09-29,2.17,1,129
21009527,"Huge Multilevel Brownstone 2 Bed, 2 Bath Apartment",50474139,Kat,,East Boston,42.36682171715664,-71.03956147201033,Entire home/apt,200,1,1,2017-09-25,1,4,44
9531326,"Sunny, Clean & Cute 1BD Near Aiport",1229497,Laura,,East Boston,42.38982827376568,-71.00519179830751,Entire home/apt,72,4,0,,,1,0
16690490,Private apartment near the airport and T,54892519,Matt,,East Boston,42.373996892556505,-71.03998292329578,Entire home/apt,130,2,13,2017-09-03,1.47,1,0
19102778,[F]River side great house,68367007,Euphy,,East Boston,42.370186928603395,-71.04156952613637,Entire home/apt,280,1,4,2017-08-01,1.02,8,3
19672185,3rd Floor Efficiency Perfect for City Explorers,16284736,Jordan,,East Boston,42.37479572809723,-71.03404083589552,Entire home/apt,127,1,28,2017-10-01,9.66,5,7
20148844,Newly furnished 2BR near airport w/ parking,45993690,Daniel,,East Boston,42.37741243984287,-71.03283719446632,Entire home/apt,109,2,12,2017-09-27,5.9,2,343
18612312,Great location in Boston,129278480,Jay,,East Boston,42.390509003893364,-71.00330983078693,Private room,50,5,0,,,4,40
14072256,E2 - Steps from Maverick Sq & Minutes from Logan,28820575,S.P,,East Boston,42.36947992644604,-71.03625960701709,Private room,80,1,145,2017-08-29,10.09,14,0
7880828,"Cozy Room near Logan Airport ,T",41542719,Ivan,,East Boston,42.37747087336046,-71.03033847489726,Private room,67,1,176,2017-10-03,6.77,3,344
11695285,Spacious 2Bdrm - Near Airport/Dntwn,14604394,Kate,,East Boston,42.37505927010074,-71.03432593425556,Entire home/apt,195,2,29,2017-09-23,1.55,1,16
8252058,"Two Bedroom apartment, East Boston",42838239,Nury,,East Boston,42.37208004957014,-71.03198308642574,Private room,78,1,225,2017-10-03,8.91,1,324
18755420,Sunny 2/1 Apt near subway. Great View,29383890,Alfonzo,,East Boston,42.36576915592613,-71.03720773406661,Entire home/apt,200,1,32,2017-08-27,7.8,1,111
